ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,label
44.97847716,75.85268557,132.3503398,62.15413314,136.7832988,93.19974479,136.7448287,128.8396918,74.4763831,68.99344244,212.9613692,131.2210267,114.5894824,121.6334818,118.7224141,347.0328754,1
38.61475266,70.08340479,123.7399781,65.6044362,117.6500046,86.56260511,133.4925212,124.8091854,65.31972816,67.11665261,185.5708369,117.4904063,106.070006,108.3616104,104.7364602,319.0785181,1
40.04215414,75.67345521,136.0068754,73.50397842,128.7307765,98.29412192,140.72307,122.5881912,65.58495031,67.86293691,201.5478901,141.2007795,111.286147,116.7893974,109.464121,304.8168673,1
38.20130185,72.84016678,127.8173851,70.63289197,130.9862938,96.99039918,138.7025264,132.8086961,69.32592769,72.29115453,201.2214319,124.7975397,119.3266881,109.2485581,107.6788632,305.4273662,1
41.63098322,73.25438173,116.6473955,69.44426014,148.301405,90.17764954,128.4053274,125.5982258,80.13132443,71.59453008,189.6872433,124.4019242,119.8024613,108.9708507,113.3088815,291.3711882,1
36.9057255,71.24256999,112.7745191,65.4569516,147.595211,81.75488472,126.4178743,132.3513906,74.15138738,72.32636613,189.6294897,111.1944617,121.3894796,103.6872341,112.0138053,292.6127971,1
42.71935427,69.23856211,184.1856864,74.82179348,195.0652355,108.035265,123.9409519,123.5050621,89.80468238,73.46786413,225.7954735,123.6382063,128.0678752,110.3186915,107.8025569,272.3279533,1
46.22926232,65.5415823,218.3168126,80.76098248,198.2401475,126.1783586,137.7772374,131.994808,82.14088639,75.96444288,258.8224811,141.9326512,136.2692361,117.7477406,110.320199,283.8764051,1
50.86479305,60.26463157,264.2733711,83.37546143,226.6338657,149.0880654,130.3387306,115.4414428,89.15259582,73.79901004,295.9946721,135.5615487,138.8087779,113.1284103,107.4989865,231.8286826,1
41.44238294,65.57670996,215.3460046,74.54360043,183.5302571,130.3319057,133.4462917,110.7344172,74.72601793,71.75688756,275.8952681,128.4854761,130.1397228,105.974549,104.2353835,219.8114445,1
33.2172683,64.95926956,199.0091394,66.92027328,172.8430066,116.170506,111.4472955,108.4911482,72.0819351,69.70933575,269.303345,107.503472,115.7405238,99.06935461,97.12299277,211.9443775,1
31.29307243,65.8639498,173.336972,60.39443877,153.1737747,102.2952535,109.0275523,115.1072558,64.85449403,70.85579613,242.566326,105.8424846,115.3685748,101.58497,98.37725484,219.422522,1
35.34736774,63.47378545,169.5758701,53.04880793,147.5352348,98.3653839,103.6686004,114.7723409,65.99095081,73.15390299,217.5563989,101.4811214,109.6011814,90.82788123,89.78439842,226.9451423,1
38.94214586,65.26747883,168.2281191,54.77988265,133.3099591,98.21484999,121.4857305,112.8728018,59.85457141,72.87087213,209.9711091,112.2551294,115.7295858,90.58496135,93.76514782,221.6707135,1
37.67438511,66.41105408,158.2159443,52.61300661,128.1388143,98.85931135,116.6864049,101.9134794,61.53960132,71.13313473,229.9597965,108.7127258,113.569942,94.06332318,86.72429989,214.8619383,1
33.68148704,60.69419524,137.5772444,57.02306279,122.7686307,87.58357681,103.7222356,94.68735494,55.01239498,71.35821248,230.3635541,101.178675,111.6650015,95.10634825,91.01141465,197.1929178,1
32.84442911,57.48371679,131.2960432,55.95017982,125.345225,86.38465458,86.68273791,88.64584133,58.93052687,74.6813864,212.0821309,91.84533618,100.9169241,86.67645266,82.19726317,193.8074464,1
33.90282496,51.95022391,128.0703433,58.32539557,124.3474444,78.30603751,82.31173864,97.83455534,59.56953486,70.40650242,177.9040557,90.72064306,86.24189107,81.05787418,84.8504177,204.6208972,1
35.59808744,57.75438861,133.3395444,56.94211619,118.627192,77.75407255,95.23609208,106.6344024,58.51649369,66.52058964,169.462602,91.91391782,85.1752414,78.41791072,77.96983058,226.330175,1
31.55149849,61.97509281,120.7934748,53.82037353,117.3265957,71.91465955,100.2016461,102.4326765,58.6913157,67.60624735,167.0528054,87.47358437,82.85977549,75.98692263,86.25107684,230.0675831,1
29.06455374,65.44183568,104.6363233,51.86286141,107.3530657,62.33615605,104.5137934,106.9549478,55.38350477,74.39831472,155.8167176,77.15996145,83.47683589,67.35351675,84.20180492,242.0328529,1
26.88942217,62.30350584,93.7674197,46.77466641,102.5412342,57.01194375,91.29186188,101.039436,52.38089821,75.00921481,148.5472968,74.32198675,77.68903927,66.14889003,82.90832598,224.9262687,1
27.96496149,64.82586015,96.92601674,48.94577752,97.31494163,59.47685379,96.87286771,111.317305,50.58297919,72.06016533,151.4042391,77.12538241,78.85872987,71.880897,82.54955564,236.9329018,1
27.48669892,67.86691168,88.60244755,50.84794223,84.36281583,55.35554985,91.43451321,99.47501729,49.8559555,71.19412948,140.9530497,74.74487683,79.94228996,66.83483325,76.27136721,208.5658804,1
32.91635844,73.55131467,86.07811157,54.65596108,88.09773611,56.56830694,92.50532552,98.18444257,60.00276423,67.68192986,133.3566652,67.90286456,75.15620264,64.90631542,77.96295833,194.0694844,1
37.24045959,74.93649166,74.62056503,51.272459,86.00503584,49.97406674,87.46404788,97.35097048,65.04757222,67.73919824,121.3568741,59.4633762,68.94365146,58.6706947,71.36808453,191.6902473,1
39.87697937,73.49837207,70.4784147,48.71115604,81.87123646,51.40403453,97.05862018,103.9201202,67.87523515,63.33121578,105.0153131,58.78459777,58.14072166,55.96842919,71.80489038,204.5087344,1
40.62449048,70.4816565,68.19752453,48.28787871,73.89867556,48.53244732,107.6380241,124.4470486,65.73771229,66.30891884,110.1862205,67.58877984,63.06687629,58.75290741,69.98176956,245.5754888,1
40.69025489,65.69041952,84.75297176,46.32077083,79.13642391,56.17470187,113.9631639,129.3678205,63.69411341,69.2599515,129.3929635,74.61665651,69.42588938,62.00588305,69.43417569,233.2142514,1
40.24483435,63.25812923,85.62407015,45.17035982,78.33293888,60.6586225,110.6305195,122.6580592,65.59530265,72.489076,141.8049657,79.14174255,74.16757337,67.97566037,75.00993652,224.1613448,1
