ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,label
56,64,59,62,53,65,69,61,64,72,59,56,69,52,64,55,1
53,68,63,67,53,71,65,58,63,68,53,56,76,47,58,61,1
47,67,61,65,58,65,58,53,59,67,54,60,73,50,58,57,1
46,65,60,62,51,63,55,55,60,60,61,58,66,52,59,57,1
48,63,56,64,54,64,53,53,60,63,60,56,58,52,65,50,1
53,64,57,66,53,62,52,49,59,61,57,51,54,52,64,50,1
70,70,55,60,59,67,59,62,61,88,62,71,63,62,68,52,1
68,70,50,67,55,72,58,57,60,82,60,66,60,54,62,48,1
62,66,48,65,55,64,52,50,61,74,53,57,63,50,62,40,1
58,65,52,66,54,60,53,59,67,69,56,60,63,50,64,47,1
56,65,57,61,56,65,61,65,73,65,61,57,69,59,71,49,1
52,66,54,57,55,72,70,66,71,70,69,64,65,68,78,58,1
52,64,53,57,57,71,75,67,69,70,57,63,62,66,79,58,1
56,64,51,60,56,72,74,66,70,73,52,65,60,62,75,58,1
51,59,62,64,58,64,71,71,73,72,49,63,71,55,72,57,1
48,55,61,64,61,72,68,60,68,74,60,60,85,59,71,53,1
49,57,61,63,62,66,60,59,59,76,66,58,86,59,71,53,1
53,61,63,59,59,76,54,55,62,79,68,55,78,64,68,51,1
57,63,58,64,53,68,52,59,72,83,58,53,60,62,59,57,1
60,60,66,66,57,71,51,63,80,80,58,54,54,58,58,56,1
61,60,56,76,57,58,56,65,78,77,55,58,51,57,60,52,1
60,57,61,72,57,61,54,66,64,76,57,58,67,59,65,49,1
61,59,50,71,52,58,63,64,60,74,51,55,70,62,65,56,1
63,56,52,61,50,66,61,69,46,71,51,51,71,61,65,60,1
58,62,50,59,52,56,61,69,49,65,47,52,58,56,67,60,1
57,63,49,63,50,55,56,67,45,73,53,55,60,55,62,57,1
53,66,51,73,55,55,62,62,63,71,49,56,57,59,63,63,1
63,62,56,75,56,70,61,56,66,71,59,56,60,68,60,61,1
63,59,63,71,58,71,68,58,81,68,63,63,54,73,66,67,1
68,54,60,56,54,68,57,59,76,76,67,65,64,74,71,57,1
59,60,55,49,52,57,58,65,74,77,63,61,63,69,73,57,1
55,61,56,51,55,54,53,66,63,77,54,53,62,63,75,48,1
55,61,62,63,60,53,60,58,62,71,50,48,59,60,75,50,1
53,53,64,67,58,59,57,58,68,76,49,55,62,58,77,51,1
55,52,58,69,61,60,55,53,72,73,60,59,73,61,64,51,1
53,58,57,67,58,62,50,59,77,75,64,61,60,59,65,53,1
52,65,58,63,63,59,52,58,68,73,66,57,69,57,67,53,1
46,62,58,55,57,62,51,63,62,77,63,55,66,55,81,57,1
46,64,52,50,62,65,54,59,61,77,68,59,76,58,78,53,1
52,64,52,53,61,68,55,66,68,81,65,60,64,59,74,53,1
56,68,49,56,59,63,62,65,69,77,59,56,58,60,65,52,1
59,64,53,60,61,65,61,71,64,77,57,54,61,64,60,53,1
54,60,53,57,61,66,60,67,59,71,61,56,58,64,58,56,1
51,63,55,60,66,76,62,63,61,67,66,58,56,59,56,58,1
48,64,52,56,62,70,61,58,62,68,64,58,56,57,63,58,1
48,64,54,58,58,63,64,56,66,66,58,52,59,58,65,54,1
53,66,55,56,54,59,65,60,67,69,66,57,57,66,73,53,1
57,66,58,61,54,69,68,61,75,70,59,57,56,64,77,56,1
64,72,51,58,55,77,64,57,76,67,61,61,51,61,80,59,1
65,71,54,62,53,70,55,53,73,66,47,61,57,52,72,58,1
61,68,56,61,54,63,48,50,71,70,52,62,55,53,67,55,1
56,59,62,65,58,57,57,56,67,78,53,63,66,51,59,52,1
57,61,59,67,69,61,59,58,70,81,63,55,64,61,59,51,1
65,59,58,69,64,66,67,70,65,72,61,55,65,64,65,57,1
65,57,54,64,58,60,56,72,61,71,60,54,54,61,63,53,1
59,54,55,64,50,53,55,65,55,65,55,60,54,56,69,51,1
48,58,45,57,45,49,46,58,58,73,49,55,48,48,60,43,1
50,69,41,61,45,60,52,60,66,72,44,48,52,50,65,52,1
51,70,41,60,47,68,54,66,72,76,40,46,53,60,64,54,1
52,75,50,61,52,72,68,68,69,74,44,52,58,66,72,58,1
51,73,55,57,51,70,65,57,60,73,56,60,59,69,69,52,1
53,70,57,61,51,65,68,50,58,70,55,56,63,60,66,53,1
58,62,60,66,54,60,61,44,52,68,60,53,63,60,62,51,1
57,63,64,66,62,63,73,54,64,76,57,57,62,68,68,57,1
53,61,61,61,58,71,73,54,66,78,62,66,57,68,74,53,1
45,62,54,63,61,65,62,59,74,79,55,60,54,57,63,53,1
44,61,48,62,60,58,48,55,69,76,49,50,50,43,62,47,1
49,66,46,68,64,54,48,66,67,77,49,47,56,46,60,53,1
55,70,47,65,62,63,55,67,71,70,55,53,59,58,67,59,1
56,66,52,71,59,75,63,65,72,68,54,56,70,65,64,59,1
52,67,56,64,58,76,60,57,75,72,55,53,70,65,66,52,1
51,65,60,64,58,76,63,59,70,77,58,62,72,66,67,53,1
49,64,60,58,67,65,58,60,67,73,58,66,64,66,76,61,1
49,57,55,60,68,55,65,65,68,68,49,65,57,59,71,69,1
49,52,52,57,69,55,63,62,63,73,50,53,60,58,72,63,1
53,58,48,63,59,58,69,68,60,76,50,54,52,56,68,59,1
59,62,52,65,52,64,68,71,58,74,58,56,53,60,70,54,1
58,65,51,69,50,63,73,70,61,70,56,58,39,56,68,61,1
60,58,52,62,52,60,74,71,70,71,61,61,53,58,72,59,1
61,60,53,62,55,57,63,65,62,75,55,54,59,65,74,58,1
57,60,56,61,52,58,59,64,58,77,51,52,69,63,73,55,1
50,59,60,65,49,62,56,55,50,73,43,44,61,60,67,56,1
48,62,64,61,51,70,69,58,59,74,42,49,58,56,65,54,1
55,63,67,61,52,72,73,56,65,69,45,51,60,65,67,61,1
62,70,66,61,60,70,76,61,74,75,52,52,69,61,74,60,1
58,68,59,71,58,67,73,62,70,65,49,49,67,59,71,64,1
53,64,56,70,57,64,65,65,70,61,48,50,62,52,74,57,1
48,55,56,74,55,71,64,66,72,62,55,52,59,59,69,56,1
48,51,56,66,58,76,65,63,74,68,62,56,64,60,70,58,1
50,55,52,62,64,79,71,61,70,81,65,57,65,59,71,60,1
49,61,46,60,71,80,73,62,64,75,62,52,59,52,66,60,1
43,59,47,59,66,69,69,65,65,78,59,49,54,51,73,64,1
41,56,50,64,61,65,64,66,71,62,58,47,53,54,69,64,1
44,52,56,60,56,56,58,66,70,66,57,52,60,63,75,64,1
52,56,58,63,57,58,53,61,68,66,58,52,61,63,65,57,1
50,61,54,63,61,55,58,63,67,73,57,55,63,59,59,52,1
48,61,48,61,64,55,57,67,63,68,59,56,62,55,59,55,1
48,63,50,54,64,57,56,65,62,68,58,60,60,51,61,51,1
46,60,64,49,63,64,58,65,62,67,58,60,59,58,69,57,1
47,59,72,45,57,61,58,62,68,69,57,55,50,55,67,56,1
42,59,69,47,55,64,62,66,67,68,64,52,52,59,70,56,1
48,56,58,47,55,68,66,65,62,72,65,54,61,61,72,55,1
44,54,51,48,56,76,70,61,65,80,68,52,71,66,79,51,1
45,50,50,49,60,73,73,62,69,78,68,50,70,65,73,54,1
48,63,60,75,50,52,58,56,62,66,54,48,60,52,65,54,1
49,64,57,75,54,57,61,59,64,68,49,52,55,53,68,57,1
55,71,60,76,54,60,62,58,64,75,52,63,54,60,67,61,1
58,75,59,72,56,60,62,59,59,72,52,66,60,58,62,58,1
58,74,62,78,54,58,52,54,61,67,61,66,65,63,62,51,1
57,66,62,84,64,60,51,50,68,66,60,69,74,53,64,47,1
58,61,62,80,68,62,55,53,71,76,68,69,76,48,62,57,1
50,63,59,72,68,60,54,60,68,76,59,64,73,41,61,59,1
46,67,51,70,59,55,57,67,65,76,51,56,57,44,62,59,1
48,70,56,73,55,60,55,67,71,72,45,53,52,47,60,55,1
59,70,53,77,52,58,60,65,70,75,47,54,49,50,52,52,1
64,68,56,80,48,56,58,63,68,75,50,54,62,52,47,55,1
57,63,49,81,49,51,64,66,66,75,47,55,57,51,50,51,1
52,66,55,81,51,53,70,63,73,69,49,60,63,58,63,57,1
47,63,55,74,53,61,71,67,75,65,57,67,56,63,64,56,1
52,63,51,80,52,56,66,58,75,71,60,65,57,65,67,61,1
50,61,58,76,56,58,67,62,74,76,59,63,60,59,63,59,1
53,60,60,74,56,56,68,56,74,80,56,60,63,56,68,57,1
51,65,65,67,59,63,64,60,74,82,53,57,65,53,72,57,1
50,61,59,69,54,60,58,64,66,82,54,53,59,54,74,57,1
46,63,56,72,54,62,56,68,64,83,53,56,66,52,72,54,1
48,58,54,72,54,58,61,68,62,72,56,60,60,54,64,55,1
53,63,49,72,49,55,62,64,61,76,57,59,58,59,60,51,1
58,64,49,74,54,53,66,62,62,67,52,52,51,53,55,57,1
59,66,48,73,56,55,63,63,68,65,46,47,58,57,57,57,1
58,62,55,68,65,62,58,63,68,61,47,55,61,56,61,56,1
56,62,57,66,60,60,56,66,64,68,46,53,61,55,57,53,1
54,63,58,71,56,57,59,67,70,75,50,61,62,55,61,49,1
52,63,55,70,51,51,65,69,73,74,56,55,64,51,58,51,1
56,62,50,70,51,50,64,67,71,67,60,56,66,62,68,54,1
60,64,54,68,54,54,60,67,61,70,62,54,63,59,62,51,1
61,63,58,75,51,62,54,64,67,73,64,58,62,63,60,50,1
68,67,62,75,54,68,52,62,69,75,60,56,66,56,53,50,1
63,64,61,68,53,65,56,61,72,76,55,58,69,55,55,55,1
63,59,58,69,57,62,60,66,65,78,47,64,70,54,57,56,1
55,56,51,68,55,57,62,66,71,79,51,69,63,57,56,54,1
58,52,52,69,58,58,62,65,73,69,50,71,62,58,58,52,1
57,55,53,68,60,61,64,61,73,68,52,58,59,54,61,54,1
48,55,54,62,63,65,67,65,77,70,47,54,57,55,61,59,1
48,57,48,60,61,66,66,58,72,71,49,47,54,62,59,60,1
50,56,41,57,50,59,58,60,70,74,44,50,52,64,55,59,1
58,62,50,67,49,58,52,53,62,71,54,53,56,71,65,53,1
61,69,53,72,47,63,51,55,67,72,53,56,57,60,62,53,1
58,68,59,71,52,63,57,55,63,66,61,62,58,59,67,55,1
66,67,53,69,55,69,61,57,61,64,54,57,57,53,57,52,1
64,61,53,67,54,65,58,60,62,68,55,57,60,61,60,52,1
61,64,50,63,60,62,55,60,64,77,50,51,66,64,61,49,1
53,60,55,64,58,67,51,60,68,83,56,62,64,73,72,45,1
52,67,53,56,60,68,54,60,66,77,57,61,71,73,69,46,1
51,65,55,55,58,83,55,61,71,70,58,64,66,68,62,47,1
50,73,55,54,58,82,63,63,76,67,53,56,74,60,57,54,1
53,62,56,58,63,82,64,65,72,69,58,52,69,60,60,57,1
65,62,60,62,63,68,67,65,69,75,59,55,71,66,63,57,1
63,51,64,65,62,62,65,65,70,81,65,60,70,67,62,56,1
58,52,71,65,57,60,59,58,67,80,62,67,66,68,58,49,1
46,52,66,64,52,65,55,53,70,71,61,63,63,60,57,51,1
47,55,60,62,50,66,48,50,66,61,57,59,58,58,55,48,1
50,57,52,66,47,74,47,47,77,65,53,56,61,58,59,53,1
50,58,54,63,50,74,47,51,72,70,54,55,63,61,63,51,1
48,64,55,64,53,68,44,48,75,71,57,54,61,58,65,52,1
47,60,55,63,54,65,54,56,70,69,60,55,56,58,65,47,1
51,64,47,73,50,70,59,53,72,67,61,61,55,58,69,44,1
57,66,51,79,46,82,64,57,70,68,63,61,56,59,62,38,1
